original_image,labels
zdjecie_368,2
zdjecie_369,0
zdjecie_370,0
zdjecie_371,2
zdjecie_372,3
zdjecie_373,0
zdjecie_374,2
zdjecie_375,2
zdjecie_376,4
zdjecie_377,1
zdjecie_378,2
zdjecie_379,1
zdjecie_380,0
zdjecie_381,4
zdjecie_382,2
zdjecie_383,0
zdjecie_384,3
zdjecie_385,2
zdjecie_386,3
zdjecie_387,0
zdjecie_388,2
zdjecie_389,2
zdjecie_390,1
zdjecie_391,3
zdjecie_392,0
zdjecie_393,2
zdjecie_394,3
zdjecie_395,1
zdjecie_396,2
zdjecie_397,2
zdjecie_398,2
zdjecie_399,2
zdjecie_400,0
zdjecie_401,3
zdjecie_402,0
zdjecie_403,3
zdjecie_404,3
zdjecie_405,2
zdjecie_406,0
zdjecie_407,2
zdjecie_408,2
zdjecie_409,2
zdjecie_410,1
zdjecie_411,0
zdjecie_412,0
zdjecie_413,0
zdjecie_414,2
zdjecie_415,0
zdjecie_416,0
zdjecie_417,1
zdjecie_418,3
zdjecie_419,2
zdjecie_420,3
zdjecie_421,2
zdjecie_422,1
zdjecie_423,3
zdjecie_424,3
zdjecie_425,0
zdjecie_426,2
zdjecie_427,2
zdjecie_428,3
zdjecie_429,3
zdjecie_430,2
zdjecie_431,2
zdjecie_432,3
zdjecie_433,3
zdjecie_434,0
zdjecie_435,0
zdjecie_436,2
zdjecie_437,0
zdjecie_438,2
zdjecie_439,0
zdjecie_440,2
zdjecie_441,2
zdjecie_442,3
zdjecie_443,1
zdjecie_444,3
zdjecie_445,0
zdjecie_446,3
zdjecie_447,1
zdjecie_448,3
zdjecie_449,1
zdjecie_450,2
zdjecie_451,3
zdjecie_452,1
zdjecie_453,0
zdjecie_454,0
zdjecie_455,1
zdjecie_456,3
zdjecie_457,1
zdjecie_458,0
zdjecie_459,2
zdjecie_460,3
zdjecie_461,0
zdjecie_462,2
zdjecie_463,1
zdjecie_464,2
zdjecie_465,2
zdjecie_466,3
zdjecie_467,2
zdjecie_468,0
zdjecie_469,2
zdjecie_470,3
zdjecie_471,1
zdjecie_472,3
zdjecie_473,0
zdjecie_474,1
zdjecie_475,3
zdjecie_476,0
zdjecie_477,1
zdjecie_478,1
zdjecie_479,0
zdjecie_480,4
zdjecie_481,2
zdjecie_482,2
zdjecie_483,0
zdjecie_484,0
zdjecie_485,1
zdjecie_486,1
zdjecie_487,2
zdjecie_488,2
zdjecie_489,3
zdjecie_490,0
zdjecie_491,2
zdjecie_492,2
zdjecie_493,2
zdjecie_494,2
zdjecie_495,0
zdjecie_496,2
zdjecie_497,2
zdjecie_498,0
zdjecie_499,0
zdjecie_500,0
zdjecie_501,2
zdjecie_502,3
zdjecie_503,0
zdjecie_504,4
zdjecie_505,1
zdjecie_506,2
zdjecie_507,0
zdjecie_508,3
zdjecie_509,0
zdjecie_510,1
zdjecie_511,0
zdjecie_512,2
zdjecie_513,3
zdjecie_514,1
zdjecie_515,2
zdjecie_516,1
zdjecie_517,3
zdjecie_518,0
zdjecie_519,0
zdjecie_520,1
zdjecie_521,0
zdjecie_522,2
zdjecie_523,1
zdjecie_524,0
zdjecie_525,0
zdjecie_526,0
zdjecie_527,0
zdjecie_528,0
zdjecie_529,1
zdjecie_530,0
zdjecie_531,2
zdjecie_532,1
zdjecie_533,3
zdjecie_534,0
zdjecie_535,1
zdjecie_536,4
zdjecie_537,3
zdjecie_538,0
zdjecie_539,2
zdjecie_540,4
zdjecie_541,2
zdjecie_542,3
zdjecie_543,3
zdjecie_544,3
zdjecie_545,2
zdjecie_546,1
zdjecie_547,1
zdjecie_548,1
zdjecie_549,1
zdjecie_550,2
zdjecie_551,0
zdjecie_552,1
zdjecie_553,1
zdjecie_554,0
zdjecie_555,4
zdjecie_556,0
zdjecie_557,3
zdjecie_558,1
zdjecie_559,0
zdjecie_560,2
zdjecie_561,0
zdjecie_562,4
zdjecie_563,3
zdjecie_564,1
zdjecie_565,1
zdjecie_566,4
zdjecie_567,4
zdjecie_568,2
zdjecie_569,3
zdjecie_570,1
zdjecie_571,2
zdjecie_572,2
zdjecie_573,1
zdjecie_574,2
zdjecie_575,2
zdjecie_576,2
zdjecie_577,3
zdjecie_578,2
zdjecie_579,0
zdjecie_580,2
zdjecie_581,1
zdjecie_582,0
zdjecie_583,0
zdjecie_584,2
zdjecie_585,3
zdjecie_586,1
zdjecie_587,1
zdjecie_588,2
zdjecie_589,2
zdjecie_590,1
zdjecie_591,2
zdjecie_592,2
zdjecie_593,1
zdjecie_594,2
zdjecie_595,2
zdjecie_596,2
zdjecie_597,0
zdjecie_598,0
zdjecie_599,0
zdjecie_600,0
zdjecie_601,4
zdjecie_602,1
zdjecie_603,0
zdjecie_604,0
zdjecie_605,2
zdjecie_606,2
zdjecie_607,1
zdjecie_608,0
zdjecie_609,0
zdjecie_610,4
zdjecie_611,1
zdjecie_612,2
zdjecie_613,1
zdjecie_614,1
zdjecie_615,2
zdjecie_616,0
zdjecie_617,1
zdjecie_618,0
zdjecie_619,1
zdjecie_620,1
zdjecie_621,0
zdjecie_622,2
zdjecie_623,2
zdjecie_624,0
zdjecie_625,2
zdjecie_626,0
zdjecie_627,0
zdjecie_628,4
zdjecie_629,0
zdjecie_630,1
zdjecie_631,0
zdjecie_632,1
zdjecie_633,1
zdjecie_634,0
zdjecie_635,3
zdjecie_636,0
zdjecie_637,2
zdjecie_638,1
zdjecie_639,2
zdjecie_640,3
zdjecie_641,0
zdjecie_642,2
zdjecie_643,0
zdjecie_644,0
zdjecie_645,3
zdjecie_646,2
zdjecie_647,3
zdjecie_648,3
zdjecie_649,0
zdjecie_650,4
zdjecie_651,2
zdjecie_652,2
zdjecie_653,2
zdjecie_654,0
zdjecie_655,3
zdjecie_656,2
zdjecie_657,3
zdjecie_658,4
zdjecie_659,0
zdjecie_660,0
zdjecie_661,0
zdjecie_662,2
zdjecie_663,2
zdjecie_664,1
zdjecie_665,2
zdjecie_666,3
zdjecie_667,3
zdjecie_668,2
zdjecie_669,2
zdjecie_670,2
zdjecie_671,2
zdjecie_672,0
zdjecie_673,3
zdjecie_674,0
zdjecie_675,4
zdjecie_676,0
zdjecie_677,1
zdjecie_678,2
zdjecie_679,3
zdjecie_680,1
zdjecie_681,2
zdjecie_682,0
zdjecie_683,2
zdjecie_684,1
zdjecie_685,3
zdjecie_686,1
zdjecie_687,0
zdjecie_688,3
zdjecie_689,0
zdjecie_690,0
zdjecie_691,1
zdjecie_692,0
zdjecie_693,1
zdjecie_694,1
zdjecie_695,0
zdjecie_696,0
zdjecie_697,3
zdjecie_698,0
zdjecie_699,3
zdjecie_700,0
zdjecie_701,1
zdjecie_702,1
zdjecie_703,2
zdjecie_704,3
zdjecie_705,1
zdjecie_706,1
zdjecie_707,3
zdjecie_708,2
zdjecie_709,1
zdjecie_710,3
zdjecie_711,0
zdjecie_712,2
zdjecie_713,3
zdjecie_714,2
zdjecie_715,0
zdjecie_716,2
zdjecie_717,2
zdjecie_718,0
zdjecie_719,2
zdjecie_720,1
zdjecie_721,0
zdjecie_722,3
zdjecie_723,3
zdjecie_724,1
zdjecie_725,2
zdjecie_726,2
zdjecie_727,3
zdjecie_728,3
zdjecie_729,2
zdjecie_730,1
zdjecie_731,0
zdjecie_732,1
zdjecie_733,0
zdjecie_734,2
zdjecie_735,3
zdjecie_736,3
zdjecie_737,0
zdjecie_738,2
zdjecie_739,2
zdjecie_740,1
zdjecie_741,1
zdjecie_742,2
zdjecie_743,0
zdjecie_744,3
zdjecie_745,3
zdjecie_746,0
zdjecie_747,0
zdjecie_748,2
zdjecie_749,1
zdjecie_750,3
zdjecie_751,0
zdjecie_752,0
zdjecie_753,4
zdjecie_754,0
zdjecie_755,2
zdjecie_756,2
zdjecie_757,2
zdjecie_758,2
zdjecie_759,1
zdjecie_760,0
zdjecie_761,1
zdjecie_762,3
zdjecie_763,1
zdjecie_764,0
zdjecie_765,1
zdjecie_766,3
zdjecie_767,1
zdjecie_768,2
zdjecie_769,1
zdjecie_770,0
zdjecie_771,1
zdjecie_772,0
zdjecie_773,1
zdjecie_774,2
zdjecie_775,0
zdjecie_776,2
zdjecie_777,1
zdjecie_778,0
zdjecie_779,3
zdjecie_780,3
zdjecie_781,3
zdjecie_782,1
zdjecie_783,2
zdjecie_784,2
zdjecie_785,0
zdjecie_786,1
zdjecie_787,3
zdjecie_788,1
zdjecie_789,2
zdjecie_790,2
zdjecie_791,0
zdjecie_792,2
zdjecie_793,0
zdjecie_794,2
zdjecie_795,4
zdjecie_796,1
zdjecie_797,2
zdjecie_798,2
zdjecie_799,2
zdjecie_800,2
zdjecie_801,4
zdjecie_802,2
zdjecie_803,2
zdjecie_804,0
zdjecie_805,1
zdjecie_806,3
zdjecie_807,4
zdjecie_808,4
zdjecie_809,4
zdjecie_810,1
zdjecie_811,1
zdjecie_812,1
zdjecie_813,0
zdjecie_814,2
zdjecie_815,3
zdjecie_816,2
zdjecie_817,3
zdjecie_818,0
zdjecie_819,1
zdjecie_820,0
zdjecie_821,0
zdjecie_822,2
zdjecie_823,3
zdjecie_824,3
zdjecie_825,1
zdjecie_826,1
zdjecie_827,1
zdjecie_828,2
zdjecie_829,3
zdjecie_830,3
zdjecie_831,0
zdjecie_832,2
zdjecie_833,2
zdjecie_834,2
zdjecie_835,2
zdjecie_836,0
zdjecie_837,0
zdjecie_838,1
zdjecie_839,4
zdjecie_840,2
zdjecie_841,3
zdjecie_842,2
zdjecie_843,1
zdjecie_844,2
zdjecie_845,4
zdjecie_846,2
zdjecie_847,1
zdjecie_848,2
zdjecie_849,1
zdjecie_850,2
zdjecie_851,1
zdjecie_852,3
zdjecie_853,4
zdjecie_854,0
zdjecie_855,3
zdjecie_856,0
zdjecie_857,1
zdjecie_858,0
zdjecie_859,1
zdjecie_860,0
zdjecie_861,2
zdjecie_862,0
zdjecie_863,2
zdjecie_864,4
zdjecie_865,0
zdjecie_866,2
zdjecie_867,2
zdjecie_868,0
zdjecie_869,3
zdjecie_870,1
zdjecie_871,3
zdjecie_872,2
zdjecie_873,2
zdjecie_874,0
zdjecie_875,3
zdjecie_876,2
zdjecie_877,2
zdjecie_878,3
zdjecie_879,1
zdjecie_880,2
zdjecie_881,2
zdjecie_882,0
zdjecie_883,2
zdjecie_884,2
zdjecie_885,1
zdjecie_886,3
zdjecie_887,0
zdjecie_888,0
zdjecie_889,2
zdjecie_890,2
zdjecie_891,2
zdjecie_892,0
zdjecie_893,2
zdjecie_894,1
zdjecie_895,1
zdjecie_896,0
zdjecie_897,0
zdjecie_898,0
zdjecie_899,3
zdjecie_900,2
zdjecie_901,0
zdjecie_902,2
zdjecie_903,0
zdjecie_904,1
zdjecie_905,2
zdjecie_906,0
zdjecie_907,4
zdjecie_908,0
zdjecie_909,2
zdjecie_910,1
zdjecie_911,1
zdjecie_912,3
zdjecie_913,0
zdjecie_914,2
zdjecie_915,3
zdjecie_916,0
zdjecie_917,0
zdjecie_918,2
zdjecie_919,1
zdjecie_920,0
zdjecie_921,1
zdjecie_922,2
zdjecie_923,2
zdjecie_924,2
zdjecie_925,1
zdjecie_926,2
zdjecie_927,0
zdjecie_928,2
zdjecie_929,3
zdjecie_930,1
zdjecie_931,0
zdjecie_932,1
zdjecie_933,2
zdjecie_934,1
zdjecie_935,2
zdjecie_936,4
zdjecie_937,2
zdjecie_938,0
zdjecie_939,1
zdjecie_940,2
zdjecie_941,1
zdjecie_942,2
zdjecie_943,1
zdjecie_944,2
zdjecie_945,0
zdjecie_946,0
zdjecie_947,1
zdjecie_948,3
zdjecie_949,1
zdjecie_950,0
zdjecie_951,3
zdjecie_952,2
zdjecie_953,3
zdjecie_954,2
zdjecie_955,2
zdjecie_956,1
zdjecie_957,3
zdjecie_958,2
zdjecie_959,1
zdjecie_960,1
zdjecie_961,2
zdjecie_962,3
zdjecie_963,1
zdjecie_964,0
zdjecie_965,2
zdjecie_966,2
zdjecie_967,1
zdjecie_968,2
zdjecie_969,3
zdjecie_970,0
zdjecie_971,3
zdjecie_972,0
zdjecie_973,1
zdjecie_974,3
zdjecie_975,2
zdjecie_976,1
zdjecie_977,0
zdjecie_978,2
zdjecie_979,2
zdjecie_980,2
zdjecie_981,1
zdjecie_982,3
zdjecie_983,4
zdjecie_984,3
zdjecie_985,0
zdjecie_986,1
zdjecie_987,1
zdjecie_988,3
zdjecie_989,2
zdjecie_990,2
zdjecie_991,0
zdjecie_992,0
zdjecie_993,3
zdjecie_994,2
zdjecie_995,3
zdjecie_996,2
zdjecie_997,2
zdjecie_998,1
zdjecie_999,2
zdjecie_1000,2
zdjecie_1001,4
zdjecie_1002,2
zdjecie_1003,0
zdjecie_1004,0
zdjecie_1005,1
zdjecie_1006,0
zdjecie_1007,3
zdjecie_1008,3
zdjecie_1009,3
zdjecie_1010,4
zdjecie_1011,3
zdjecie_1012,3
zdjecie_1013,3
zdjecie_1014,0
zdjecie_1015,2
zdjecie_1016,3
zdjecie_1017,3
zdjecie_1018,2
zdjecie_1019,0
zdjecie_1020,2
zdjecie_1021,2
zdjecie_1022,1
zdjecie_1023,0
zdjecie_1024,3
zdjecie_1025,2
zdjecie_1026,3
zdjecie_1027,2
zdjecie_1028,2
zdjecie_1029,0
zdjecie_1030,0
zdjecie_1031,1
zdjecie_1032,0
zdjecie_1033,3
zdjecie_1034,0
zdjecie_1035,2
zdjecie_1036,3
zdjecie_1037,3
zdjecie_1038,2
zdjecie_1039,1
zdjecie_1040,4
zdjecie_1041,2
zdjecie_1042,0
zdjecie_1043,2
zdjecie_1044,0
zdjecie_1045,2
zdjecie_1046,3
zdjecie_1047,3
zdjecie_1048,2
zdjecie_1049,2
zdjecie_1050,0
zdjecie_1051,0
zdjecie_1052,2
zdjecie_1053,1
zdjecie_1054,2
zdjecie_1055,0
zdjecie_1056,3
zdjecie_1057,0
zdjecie_1058,0
zdjecie_1059,2
zdjecie_1060,2
zdjecie_1061,2
zdjecie_1062,1
zdjecie_1063,2
zdjecie_1064,2
zdjecie_1065,2
zdjecie_1066,1
zdjecie_1067,0
zdjecie_1068,3
zdjecie_1069,2
zdjecie_1070,1
zdjecie_1071,2
zdjecie_1072,2
zdjecie_1073,0
zdjecie_1074,2
zdjecie_1075,4
zdjecie_1076,3
zdjecie_1077,2
zdjecie_1078,2
zdjecie_1079,0
zdjecie_1080,2
zdjecie_1081,2
zdjecie_1082,3
zdjecie_1083,0
zdjecie_1084,0
zdjecie_1085,0
zdjecie_1086,3
zdjecie_1087,1
zdjecie_1088,2
zdjecie_1089,0
zdjecie_1090,2
zdjecie_1091,3
zdjecie_1092,0
zdjecie_1093,0
zdjecie_1094,0
zdjecie_1095,1
zdjecie_1096,2
zdjecie_1097,1
zdjecie_1098,2
zdjecie_1099,1
zdjecie_1100,0
zdjecie_1101,0
zdjecie_1102,1
zdjecie_1103,2
zdjecie_1104,3
zdjecie_1105,1
zdjecie_1106,0
zdjecie_1107,0
zdjecie_1108,3
zdjecie_1109,1
zdjecie_1110,0
zdjecie_1111,0
zdjecie_1112,2
zdjecie_1113,2
zdjecie_1114,2
zdjecie_1115,0
zdjecie_1116,2
zdjecie_1117,4
zdjecie_1118,0
zdjecie_1119,1
zdjecie_1120,2
zdjecie_1121,4
zdjecie_1122,1
zdjecie_1123,1
zdjecie_1124,0
zdjecie_1125,2
zdjecie_1126,2
zdjecie_1127,1
zdjecie_1128,3
zdjecie_1129,1
zdjecie_1130,0
zdjecie_1131,0
zdjecie_1132,3
zdjecie_1133,0
zdjecie_1134,2
zdjecie_1135,2
zdjecie_1136,2
zdjecie_1137,2
zdjecie_1138,1
zdjecie_1139,3
zdjecie_1140,4
zdjecie_1141,4
zdjecie_1142,1
zdjecie_1143,2
zdjecie_1144,1
zdjecie_1145,3
zdjecie_1146,3
zdjecie_1147,1
zdjecie_1148,1
zdjecie_1149,2
zdjecie_1150,4
zdjecie_1151,0
zdjecie_1152,0
zdjecie_1153,3
zdjecie_1154,2
zdjecie_1155,3
zdjecie_1156,1
zdjecie_1157,4
zdjecie_1158,2
zdjecie_1159,0
zdjecie_1160,2
zdjecie_1161,0
zdjecie_1162,1
zdjecie_1163,3
zdjecie_1164,0
zdjecie_1165,2
zdjecie_1166,1
zdjecie_1167,1
zdjecie_1168,3
zdjecie_1169,4
zdjecie_1170,0
zdjecie_1171,0
zdjecie_1172,4
zdjecie_1173,3
zdjecie_1174,3
zdjecie_1175,0
zdjecie_1176,1
zdjecie_1177,1
zdjecie_1178,3
zdjecie_1179,1
zdjecie_1180,2
zdjecie_1181,1
zdjecie_1182,2
zdjecie_1183,0
zdjecie_1184,2
zdjecie_1185,2
zdjecie_1186,2
zdjecie_1187,2
zdjecie_1188,2
zdjecie_1189,3
zdjecie_1190,2
zdjecie_1191,0
zdjecie_1192,1
zdjecie_1193,2
zdjecie_1194,1
zdjecie_1195,2
zdjecie_1196,1
zdjecie_1197,2
zdjecie_1198,3
zdjecie_1199,3
zdjecie_1200,0
zdjecie_1201,4
zdjecie_1202,3
zdjecie_1203,3
zdjecie_1204,1
zdjecie_1205,2
zdjecie_1206,1
zdjecie_1207,0
zdjecie_1208,0
zdjecie_1209,2
zdjecie_1210,2
zdjecie_1211,1
zdjecie_1212,4
zdjecie_1213,2
zdjecie_1214,3
zdjecie_1215,2
zdjecie_1216,0
zdjecie_1217,1
zdjecie_1218,2
zdjecie_1219,2
zdjecie_1220,0
zdjecie_1221,3
zdjecie_1222,0
zdjecie_1223,2
zdjecie_1224,4
zdjecie_1225,2
zdjecie_1226,2
zdjecie_1227,1
zdjecie_1228,3
zdjecie_1229,1
zdjecie_1230,2
zdjecie_1231,1
zdjecie_1232,2
zdjecie_1233,2
zdjecie_1234,0
zdjecie_1235,0
zdjecie_1236,0
zdjecie_1237,1
zdjecie_1238,0
zdjecie_1239,2
zdjecie_1240,0
zdjecie_1241,1
zdjecie_1242,2
zdjecie_1243,4
zdjecie_1244,3
zdjecie_1245,3
zdjecie_1246,2
zdjecie_1247,1
zdjecie_1248,3
zdjecie_1249,2
zdjecie_1250,2
zdjecie_1251,2
zdjecie_1252,2
zdjecie_1253,2
zdjecie_1254,0
zdjecie_1255,0
zdjecie_1256,3
zdjecie_1257,1
zdjecie_1258,1
zdjecie_1259,3
zdjecie_1260,0
zdjecie_1261,2
zdjecie_1262,2
zdjecie_1263,2
zdjecie_1264,2
zdjecie_1265,1
zdjecie_1266,1
zdjecie_1267,2
zdjecie_1268,2
zdjecie_1269,2
zdjecie_1270,2
zdjecie_1271,0
zdjecie_1272,2
zdjecie_1273,4
zdjecie_1274,4
zdjecie_1275,0
zdjecie_1276,2
zdjecie_1277,2
zdjecie_1278,2
zdjecie_1279,4
zdjecie_1280,3
zdjecie_1281,1
zdjecie_1282,3
zdjecie_1283,0
zdjecie_1284,2
zdjecie_1285,1
zdjecie_1286,3
zdjecie_1287,1
zdjecie_1288,2
zdjecie_1289,1
zdjecie_1290,2
zdjecie_1291,0
zdjecie_1292,3
zdjecie_1293,2
zdjecie_1294,0
zdjecie_1295,0
zdjecie_1296,0
zdjecie_1297,0
zdjecie_1298,3
zdjecie_1299,0
zdjecie_1300,0
zdjecie_1301,1
zdjecie_1302,3
zdjecie_1303,3
zdjecie_1304,2
zdjecie_1305,2
zdjecie_1306,3
zdjecie_1307,2
zdjecie_1308,4
zdjecie_1309,3
zdjecie_1310,1
zdjecie_1311,3
zdjecie_1312,1
zdjecie_1313,0
zdjecie_1314,1
zdjecie_1315,2
zdjecie_1316,0
zdjecie_1317,0
zdjecie_1318,2
zdjecie_1319,2
zdjecie_1320,1
zdjecie_1321,0
zdjecie_1322,1
zdjecie_1323,0
zdjecie_1324,1
zdjecie_1325,0
zdjecie_1326,1
zdjecie_1327,3
zdjecie_1328,0
zdjecie_1329,2
zdjecie_1330,2
zdjecie_1331,0
zdjecie_1332,0
zdjecie_1333,0
zdjecie_1334,0
zdjecie_1335,3
zdjecie_1336,2
zdjecie_1337,1
zdjecie_1338,1
zdjecie_1339,0
zdjecie_1340,2
zdjecie_1341,2
zdjecie_1342,2
zdjecie_1343,4
zdjecie_1344,0
zdjecie_1345,2
zdjecie_1346,2
zdjecie_1347,3
zdjecie_1348,1
zdjecie_1349,0
zdjecie_1350,0
zdjecie_1351,1
zdjecie_1352,0
zdjecie_1353,1
zdjecie_1354,2
zdjecie_1355,2
zdjecie_1356,2
zdjecie_1357,1
zdjecie_1358,1
zdjecie_1359,3
zdjecie_1360,0
zdjecie_1361,2
zdjecie_1362,3
